x,y
0,0
1,0
2,-1
3,0
4,0
5,0
6,0
7,-1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,-1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,-1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,-1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,0
85,-1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,-1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,-1
117,-1
118,-1
119,0
120,0
121,0
122,0
123,-1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,-1
144,0
145,1
146,-1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,-1
155,0
156,0
157,0
158,-1
159,0
160,-1
161,0
162,0
163,0
164,0
165,0
166,-1
167,0
168,0
169,0
170,0
171,0
172,0
173,-1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,-1
183,-1
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,-1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,-1
212,1
213,0
214,0
215,0
216,-1
217,-1
218,0
219,0
220,0
221,-1
222,0
223,-1
224,0
225,0
226,0
227,-1
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,-1
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,-1
275,0
276,0
277,0
278,-1
279,-1
280,0
281,0
282,1
283,0
284,-1
285,0
286,0
287,0
288,0
289,0
290,0
291,-1
292,-1
293,0
294,0
295,-1
296,1
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,-1
310,0
311,0
312,0
313,0
314,0
315,1
316,-1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,-1
334,0
335,0
336,-1
337,0
338,0
339,-1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,0
350,0
351,-1
352,1
353,0
354,0
355,-1
356,-1
357,0
358,0
359,0
360,1
361,-1
362,0
363,0
364,0
365,-1
366,1
367,0
368,0
369,0
370,1
371,-1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,-1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,-1
396,0
397,0
398,-1
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,-1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,-1
423,0
424,0
425,0
426,-1
427,0
428,1
429,-1
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,0
440,0
441,9
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,-1
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,0
471,-1
472,0
473,-1
474,1
475,0
476,1
477,0
478,0
479,1
480,0
481,0
482,1
483,0
484,0
485,0
486,1
487,-1
488,-1
489,1
490,0
491,0
492,0
493,-1
494,0
495,0
496,1
497,0
498,0
499,0
500,0
501,0
502,0
503,-1
504,0
505,0
506,0
507,-1
508,0
509,0
510,1
511,1
512,-1
513,0
514,0
515,0
516,0
